[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -14.616666666666667, 4.604584063894251, 187.5, 0], Array([127.67069401], dtype=float64), 3.0859034762711845e-07, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -14.6, 2.8242713139778544, 187.5, 0], Array([136.75944133], dtype=float64), 5.5672579176965074e-09, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -14.583333333333334, 5.443847623894284, 187.5, 0], Array([134.51618397], dtype=float64), 1.5469590534812643e-08, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -14.566666666666666, 1.955179929613329, 187.5, 0], Array([155.20554849], dtype=float64), 6.315506976910086e-13, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -14.55, 3.2633587652481095, 187.5, 0], Array([169.02954596], dtype=float64), 3.5086997315114233e-16, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -14.7, 1.785568966410902, 187.5, 0], Array([111.48332931], dtype=float64), 0.00015623879732858388, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -14.683333333333334, 2.3298550792182535, 187.5, 0], Array([113.41862769], dtype=float64), 7.95691535937639e-05, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -14.666666666666666, 0.2693107718765578, 187.5, 0], Array([115.75354696], dtype=float64), 3.432302014807394e-05, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -14.65, 3.375009702736025, 187.5, 0], Array([99.624545], dtype=float64), 0.006062812246086083, 76]
[12.5, 12.75, [1.0, 0.22069743502150108, 9, -7.585026652029182, -14.633333333333333, 0.5699979239516367, 187.5, 0], Array([128.84989898], dtype=float64), 1.868677902538056e-07, 76]
